Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
07/29/2020,446,3,19,56,131,94,68,51,28,12,6,0,233,208,5,181,7,99,90,18,51,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,8,2,2,1,1,0,7,12,0,8,0,8,2,1,0
05/28/2021,139,4,20,31,33,18,22,18,7,6,4,0,88,51,0,33,4,57,18,5,22,0,0,0,0,0,2,1,1,0,3,1,0,0,0,4,0,0,0,1,2,1,5,6,1,3,1,0,9,11,0,3,0,13,2,1,1
06/05/2021,62,5,9,14,13,9,7,8,7,2,2,0,33,29,0,16,1,21,10,3,11,0,0,0,1,1,1,2,0,0,2,3,0,2,0,3,0,0,0,0,0,3,1,3,1,0,1,0,6,3,0,0,0,8,1,0,0
10/28/2020,1742,8,100,214,463,403,289,192,110,50,21,0,906,828,8,661,36,236,328,83,398,0,0,0,1,1,4,2,0,0,1,7,0,3,0,3,2,0,0,4,10,9,13,17,15,16,16,0,56,44,0,23,2,41,30,3,1
01/08/2021,1207,18,58,159,328,216,167,152,109,48,28,0,613,591,3,390,35,215,256,65,246,0,0,1,2,1,4,6,4,0,10,8,0,4,3,7,3,0,1,2,2,3,9,15,13,6,8,0,28,30,0,13,2,29,10,1,3
11/19/2020,2170,17,129,250,526,458,358,278,187,84,29,0,1115,1041,14,736,42,280,399,106,607,0,0,0,0,0,7,5,5,0,7,10,0,3,1,5,7,1,0,5,5,13,18,19,22,28,19,0,63,66,0,34,5,44,33,4,9
12/03/2020,2072,30,126,235,521,403,319,308,158,80,47,1,1096,970,6,710,56,336,346,95,529,0,0,0,1,3,6,10,10,0,12,18,0,7,3,13,7,0,0,1,4,12,16,24,28,19,22,0,54,72,0,41,4,47,24,4,6
01/10/2021,497,17,69,62,122,94,77,65,39,23,15,0,260,232,5,112,20,80,146,30,109,0,0,1,0,1,2,6,7,0,6,11,0,5,1,3,8,0,0,2,8,3,12,6,17,10,11,0,38,31,0,21,3,26,12,3,4
03/03/2021,337,5,26,46,92,72,56,29,24,14,4,0,160,177,0,75,20,71,88,35,48,0,0,0,0,0,1,1,3,0,3,2,0,0,1,3,1,0,0,1,3,1,1,5,7,6,2,0,17,9,0,2,0,15,8,1,0
03/16/2021,444,3,32,85,128,97,51,40,23,18,2,0,248,196,0,100,10,98,116,41,79,0,0,0,0,0,1,1,1,0,2,1,0,0,1,2,0,0,0,0,4,1,4,11,6,4,2,0,16,16,0,3,0,25,3,1,0
03/22/2020,168,2,73,6,23,27,31,37,24,14,6,0,74,94,0,22,6,83,50,4,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,6,8,13,14,13,14,5,0,36,36,1,12,4,47,6,3,1
09/03/2020,341,3,23,36,103,60,51,49,23,13,6,0,181,159,1,138,5,57,87,5,49,0,0,0,0,1,0,0,2,0,1,2,0,3,0,0,0,0,0,0,4,4,2,4,4,3,2,0,12,11,0,9,0,7,4,2,1
03/23/2020,290,3,107,4,46,55,53,56,30,35,11,0,141,149,0,37,13,135,74,11,20,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,5,16,13,18,18,26,10,0,51,55,1,17,5,67,12,5,1
05/22/2021,129,5,35,27,35,16,13,19,10,8,1,0,67,61,1,33,1,51,19,6,19,0,0,1,0,0,2,2,0,0,3,2,0,2,1,2,0,0,0,1,4,5,10,6,5,4,0,0,20,15,0,5,0,20,5,1,4
07/06/2020,283,5,31,23,80,66,41,35,21,11,6,0,150,129,4,86,11,69,49,7,61,0,0,0,0,1,2,0,2,0,4,1,0,1,0,2,2,0,0,1,3,3,5,6,4,5,4,0,18,13,0,4,1,16,7,0,3
06/04/2020,318,15,33,27,91,63,54,40,25,10,8,0,159,156,3,147,5,64,26,9,67,0,0,2,1,0,6,4,2,0,6,9,0,6,1,8,0,0,0,0,6,1,6,5,10,3,2,0,19,14,0,12,1,10,7,1,2
03/09/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,1,0
11/02/2020,2324,15,119,271,554,508,373,312,187,73,46,0,1190,1124,10,772,51,317,450,102,632,0,0,0,0,0,2,5,8,0,6,9,0,1,1,5,8,0,0,2,6,13,17,27,22,15,17,0,58,61,0,31,3,45,25,5,10
